,id,name,lat,lng,동,지번,nickname,orderid,menu_summary,comment
0,46,피자로뎀,37.4962559,126.9073243,대림동,909-44,ph**,32939909.0,"하프앤하프（반반피자）M/1(피자 선택(콤비네이션피자,페퍼로니피자),도우 추가 선택(변경 안함))",맛있게 잘 먹었습니다~
10382,214906,BBQ-신길사러가점,37.5070236,126.9103928,신길동,255-1번지,le**,32891447.0,메이플버터갈릭（6개）/1,배달 빨라서 따뜻하고 바삭하네요
17714,225941,후라이드참잘하는집-대림점,37.49418,126.90414540000002,대림동,883-2,kj**,32942352.0,후라이드/1(추가 선택(치즈볼 치즈맛（4개）추가)),역시나 오늘도 정말 맛있었습니다 ㅎㅎ
33122,232529,페리카나-신풍시장점,37.5056093,126.9052042,신길동,325-96,jm**,32907284.0,순살후라이드 반＋순살간장 반/1,오늘도 푸짐하고 맛있게 먹습니다. 따뜻하고 바삭하게 배달왔어요
44396,240602,호식이두마리치킨-신길1호점,37.5056284,126.9128843,신길동,235-10,yd**,32912031.0,"뼈한마리/1(뼈 소스선택(후라이드),기본음료선택(콜라 기본)),참이슬 후레쉬/3",호식이 대표 싫어서 안 먹을까? 하다 에휴! 하고 일단 시켜 봤는데 여사장님의 안내 전화가 친절하셨음^^  또 시킬게요
47861,241396,장보고-신길동,37.5028342,126.9152134,신길동,4939,dy**,32939022.0,탕수육 1인 식사세트/1(식사메뉴 선택(쟁반짜장 곱빼기)),짜장면은 맛은 있는데 양파가 너무 생이었어요ㅠ 리뷰이벤트 참여한다 햇는데 만두도 같이안왔네요ㅜㅜ 그래도 탕수육이 맛있었어서 맛있게 잘먹었습니다!
53771,243813,박가부대-신길점,37.5062548343372,126.911302123995,신길동,4902-12,rh**,32890231.0,요기요 프리미엄 수제햄 부대찌개 2인/1,배갈도빠로고 맛과 양 전부 만족스럽습니다 번창하세요
54173,243914,원할머니보쌈-신길점,37.5062548343372,126.911302123995,신길동,4902-12,xo**,32927839.0,"맛보쌈/1(보쌈사이즈선택1(소（생육500g이상,수육350g）))",따뜻하게 배달와서 정말 좋아요!
62420,250494,미스터피자-보라매점,37.499525615725105,126.919058943959,신길동,499,lo**,32875449.0,"[★]미스터트리오L/1(엣지 선택(노엣지),사이드 선택(콜라1.25L,[BEST사이드] 오븐치즈 미트스파게티))",애들이랑 먹었는데 다 맛있어요
66428,251778,지코바치킨-대림1호점,37.503285462846605,126.896853129773,대림동,605-64,se**,32940049.0,순살양념（보통맛）/1,20몇분만에 왔어요. 숯불향이 좀 아쉽지만 맛있네요 밥 반찬처럼도 먹을 수 있어 좋아요. 밥까지 보내 주시니 넘 좋았어요~ 번창하세요
73420,253454,동해루-신길점,37.509439766587,126.910533987896,신길동,226-101,ch**,32899473.0,"잡채밥/1,세트0（탕수육＋짜장1 or 짬뽕1）/1(식사 선택(짜장1))",맛있어여~바싹탕숙ㅎ
84704,257074,정가네닭도리탕-강남서부점,37.498706429751294,126.898531187108,대림동,689,zz**,32909059.0,얼큰닭도리탕/1(사이즈 선택(中)),벌써 3번째 시켜먹네요 ㅋㅋ 양도 많고 맛있어요 다음에 또 주문할게요
88820,258461,교촌치킨-영등포1호점,37.5070238999338,126.910709900001,신길동,232-42,rl**,32924076.0,교촌레드순살[R]/1,역시 너무 멋있습니다 ㅠㅜ
95032,260899,충무김밥과New마약떡볶이,37.498721558568704,126.898552000359,대림동,689,sd**,32888704.0,"마떡 1人/1(맛 선택(보통맛)),순대 250g/1",여기는 진짜 떡볶이 맛집... 양이 1인분은 아니에요!! 맨날 둘이 먹습니다
103208,267106,두마리찜닭두찜-신길점,37.507634343145,126.91259651559099,신길동,209-169,ji**,32885255.0,"한마리찜닭/1(찜닭 선택(까만찜닭（같이먹던사람도 까맣게 잊을맛）),메뉴 선택(순살),매운맛 단계(2단계（순한맛）),당면 선택(둥근당면),사이드 추가(날치알밥¸)),한마리찜닭/1(찜닭 선택(까만찜닭（같이먹던사람도 까맣게 잊을맛）),메뉴 선택(순살),매운맛 단계(1단계（아주순한맛）),당면 선택(둥근당면),사이드 추가(날치알밥¸)),날치알밥¸/1,공기밥/1",존맛탱구리 서비스 감사합니당 ❤️❤️❤️❤️
104994,27208,파닭두마리치킨,37.4936173,126.9015713,대림동,836-5,gh**,32647890.0,파닭세트2（파닭순살후라이드 한마리＋파닭순살양념 한마리＋파소스＋콜라 500mL）/1,시간 내 친절하게 배송해주셨고 맛도 있어서 좋아요
105953,27578,BHC-신길대림점,37.5055078999336,126.902484500001,신길동,355-273,ka**,32939999.0,후라이드/1(옵션(콜라1.25L)),배달도 적당히 빠르고 맛있어요 오늘 또 시카먹으려구요
114354,277096,걸작떡볶이치킨-신풍역점,37.5016782121428,126.91409283386601,신길동,2039,kn**,32938476.0,"국물떡닭순살세트/1(떡볶이 사이즈 선택(국물떡볶이 （R）),맛 선택(중간매운맛),순살치킨 변경 선택(걸작순살치킨),치킨 추가 선택(양념소스 추가,치킨무 추가),음료 변경 선택(콜라 500ml（변경안함）))","국물떡중간맛  순살치킨  소스1 무1 시킴  양이 적어보였는데 성인 둘이서 배부르게 맛있게 다먹음!  떡볶이  떡, 어묵  한입 크기라서 떠먹기 너무 편했고 계란도 포함이라 좋았음 담에 또 땡길듯   맛있어요    치킨 1조각이  덜익었는지 아님 뭔지모르겠는데 비린냄새가 확나  삼키기힘들어서  뱉음 나머지 닭은  잘먹음 치킨맛은 보통    치킨무 ㅡ양적음  단무지ㅡ양 많음   배달직원님  요청대로 해주심  친절하심"
116451,279050,heyday,37.5055078325287,126.912662335728,신길동,235-7,am**,23077611.0,"아메리카노/1(HOT／ICE 선택(ICE)),리얼 딸기 우유/1",병에오는줄 알았는데욤 ㅠㅠ 그래도 맛있어요!
133489,295413,쫄면주는삼겹본능-대림썬프라자점,37.4964054579799,126.90808870177099,대림동,909-2,sm**,32916154.0,구이삼겹 2인¸/1(고기 추가(고기추가（200g）)),평점이 높은데는 이유가 있네요 ㅋㅋㅋ 생각 날때마다 시켜 먹을게요
140082,30718,불닭발동대문엽기떡볶이-신풍점,37.4991303601784,126.90819992300399,신길동,445-11,jh**,32914564.0,"엽기반반/1(매운맛 선택(오리지널),떡&오뎅사리 추가선택(오뎅사리 1번 추가))",맛있어요! 오뎅 추가했는데 오뎅 양이 많아보이지 않아요!
158976,313577,맥도날드-보라매점,37.5002844416209,126.92002670950501,신길동,505,bl**,32945216.0,"1955 버거™ 라지 세트/1(사이드 선택（L）(후렌치 후라이 라지),음료 선택（L）(바닐라 쉐이크 미디엄)),에그 불고기 버거/1",배달은 50분 찍히고 60분 걸려서 왔고 주문메뉴에는 토마토가 안들어가면 음료쿠폰 준다는데 그런거 없음
169725,32395,원조정가네닭도리탕,37.4972523,126.8992087,대림동,692-3,ra**,32937247.0,순살닭도리탕 小/1,후기에 다 맛있다 그래서 시켰는데 정말 맛있어융 간이 조금 센편인데 밥이랑 먹으면 딜리샤스
176456,32416,원조새우찜탕,37.4985221,126.8986523,대림동,689-1,sh**,32725401.0,원조새우찜 小/1(음료 선택(콜라 500mL)),솔직히 배달음식 별 기대 않하고 아쉬우니까 시켜먹었었는데 진짜 기대 이상으로 맛있어요 후회않할 맛입니다
178075,321409,한그릇,37.498706429751294,126.898531187108,대림동,689,wa**,32942592.0,김치찌개/1,만족합니다  맛있게 잘 먹었습니다
191850,33923,장금이도시락,37.49878169993271,126.89851730000099,대림동,689번지,wo**,32547258.0,"소불고기 도시락/1,참치김치찌개/1,공기밥/1",맛있었어요 김치찌개가 특히 ㅎ 다먹었어요 ㅋ 배달도 정확히 잘 왔습니다~~
212786,352238,교촌치킨-대림2호점,37.5014970600657,126.896805373253,대림동,783-6,lo**,32939162.0,교촌허니순살[R]/1,빠른 배달 감사합니다 맛있어용
227625,377899,이태리면가게&필라프-영등포점,37.507178695701604,126.910459722711,신길동,230-11,al**,32715560.0,"쉬림프 크림 리조또/1(맛 추가 선택(매운맛 추가),토핑 추가 선택(날치알 추가))",가까워서 시켜봤는데 새우탱글탱글 맛있어요!!
242993,404746,또봉이통닭-서울신길점,37.5068098121706,126.913863855884,신길동,4912-1,sk**,32910765.0,또봉이통닭/1,첫 주문인데 맛이 좋아요~^^또이용할께요
246350,414644,교촌치킨-신풍역점,37.4987720243792,126.908128660762,신길동,445-2,ji**,32713042.0,"교촌반반순살＋칩카사바/1(사이드 메뉴(교촌웨지감자（세트）),디핑소스 추가(레드디핑소스))",肌肉里面没熟透。鸡油都没化  最好别吃순살
248480,423711,GS25-영등포프레비뉴점,37.5048738834245,126.907793372927,신길동,4945,tl**,32317301.0,"반반치킨도시락2편/1,①바삭통다리치킨/1,⑦베이컨소시지/1(⑦베이컨소시지[증정상품]([치킨／꼬치]치킨25）펩시콜라캔190ML（행사용）)),⑨바베큐닭다리/1,비닐봉투/1",속도도 빠르고 잘 받았습니다~  물티슈 잘 쓸게요~
259275,453644,청년피자-영등포점,37.5060565114727,126.90493159817,신길동,314-61,dr**,32935213.0,"반반 오리지널 L/1(반반 오리지널 피자선택(（반반）리얼페페로니,（반반）（인기）진짜감자피자),도우 변경(기본))",너무 맛있게 먹었어요!!
260407,454051,티바두마리치킨-신길점,37.5066971877169,126.91406478284,신길동,4913,le**,32514354.0,"땡초갈릭＋후라이드/1(후라이드 변경 선택(변경안함),추가／변경 선택(순살치킨 변경,콜라 1.25L 변경))",순살을 시켜서 그런지 후라이드가 너무 바삭했어요. 땡초치킨은 맛있게 먹었습니다~
266029,491557,60계치킨-서울신풍역점,37.5003941167227,126.91007842152901,신길동,3575,ev**,32902269.0,"짜장치킨（순한맛）/1,후라이드 반＋반마리선택/1(반마리선택(고추치킨 반))",배달 빠르고 고추치킨 맛있어요
267748,52910,교촌치킨-신길2호점,37.50287399993329,126.92114810000099,신길동,674,2_**,32938690.0,교촌허니콤보/1(디핑소스 추가(레드디핑소스)),깔끔하고 맛있습니다
268702,53284,처갓집양념치킨-대림점,37.4892619,126.9028845,대림동,1010-23,ki**,32923171.0,"두마리세트（후라이드＋양념치킨＋콜라 1.25L）/1(뼈／순살 선택(뼈),추가 선택(무 추가))",후라이드 엄청 맛있네요 !!!양념은 좀 물려서 못먹었어요 양념이 좀 아쉽네요 그래도 핫도그 서비스 맛있었어요
270252,54231,꼬꼬야숯불뜨겁니,37.5087847999341,126.905567300001,도림동,80-20,tt**,32925525.0,"반반치킨 꼬꼬야 숯불바베큐/1(뼈 or 순살 선택(뼈),맛 선택(순한맛＋약간매운맛))",맛있게 잘 먹었습니다 감사합니다!
