question,answer,intent
자장면 1인분 배달 가능한가요?,죄송하지만 2인분 이상 주문하셔야 배달 가능합니다,1인분배달문의
혹시 1인분도 배달 가능한가요,네 물론입니다,1인분배달문의
짜장면 한 그릇도 배달되나요?,아니요 만 원 이상 되어야지 배달 가능합니다,1인분배달문의
짜장면 1인분 배달 가능한가요?,죄송하지만 1인분은 배달이 안 됩니다,1인분배달문의
한 그릇도 주문 가능한가요?,네 주문해주세요,1인분배달문의
짜장면 1인분만 배달 가능한가요?,네 가능한데 배달료가 붙습니다,1인분배달문의
네 수고하십니다 저 죄송하지만 배달은 2인분 이상 가능하죠?,주문 단위가 인분이 아니고 저희는 한 마리요,1인분배달문의
맛있게 해주세요,단골이신데 당연하지요,
어떻게 아셨어요?,자주 주문 헤드 시는 분이라고 뜨네요,
왜요?,양념치킨용 양념이 다 떨어져서요,
그럼 다음에 주문할게요,알겠습니다,
짜장면 한 그릇에 얼마에요?,4000원입니다,가격문의
불고기 피자 치킨세트 얼마인가요?,21900원입니다,가격문의
치킨무 1개 더 추가하면 추가 금액이 얼마에요?,개당 500원입니다,가격문의
프라이드 한 마리에 얼마에요?,15000원입니다,가격문의
탕수육 중자 얼마예요?,만 오천 원입니다,가격문의
하와이안 피자 라지는 얼만가요?,이만 삼천 원입니다,가격문의
네 얼마에요?,21000원입니다,가격문의
짬뽕 하나와 간짜장 탕수육 작은 거 시키려는데 얼마죠?,27000원입니다,가격문의
프라이드치킨 한 마리 얼마인가요?,16000원입니다,가격문의
그건 얼마예요?,15000원입니다,가격문의
짜장면 한 그릇에 얼마에요?,5500원입니다,가격문의
프라이드 양념 반반 치킨 가격 어떻게 되나요?,20000원입니다,가격문의
홍합 짬뽕은 얼마인가요?,6500원입니다,가격문의
콜라 큰 거 추가하면 얼마인가요?,오늘은 서비스로 드릴게요,가격문의
그럼 그냥 짜장면 곱빼기 하나는 가격이 얼마인가요,5천 원입니다,가격문의
16000원 맞죠,아 손님 죄송한데 저희가 세트 가격을 올리게 돼서 20000원입니다,가격문의
추가하려면 얼마인가요?,각각 500원씩이에요,가격문의
빅맥세트 얼마에요?,6300원입니다,가격문의
짜장면 가격이 얼마죠?,6000원입니다,가격문의
짜장면과 탕수육 세트는 얼마인가요?,13000원입니다.,가격문의
짜장면 한 그릇에 얼마인가요?,4500원입니다.,가격문의
프라이드는 얼마예요?,만 원입니다,가격문의
추가로 스파게티 주문하려는데 크림소스 스파게티 하나에 얼마나 하나요?,7800원입니다,가격문의
황금올리브 속안심 하나 얼마인가요?,네 17000원입니다,가격문의
그럼 총 얼마인가요?,총 15500원입니다.,가격문의
탕수육 소짜리는 얼마죠?,15000원입니다,가격문의
볶음밥은 얼마인가요?,6000원입니다,가격문의
가격이 어떻게 되죠?,총 2만 3천 원입니다.,가격문의
짜장면 한 그릇에 얼마에요?,4000원입니다,가격문의
그럼 총 얼마인가요?,3만 5천 원입니다,가격문의
네 얼마인가요?,네 22000원입니다,가격문의
슈프림 피자 미디엄 사이즈 가격 알 수 있을까요?,만 오천 원입니다.,가격문의
짜장면 한 그릇에 얼마에요?,6000원입니다,가격문의
가격은 얼마인가요?,네 삼만 원입니다,가격문의
팝콘치킨하고 프라이드치킨 합해서 얼마죠?,31000원입니다,가격문의
팝콘치킨은 얼마죠?,12000원입니다,가격문의
짜장면 한 그릇에 얼마인가요?,4500원입니다,가격문의
미트볼 스파게티는 얼마죠?,6000원이요,가격문의
슈림프 핫치킨 골드 피자는 31000원이네요?,네 라지가 31000원입니다,가격문의
고구마 피자 라지 28000원 레귤러가 24000원 이에요?,네,가격문의
콤비네이션 피자는 큰 건 얼마에요?,큰 거는 15900원이요,가격문의
레귤러 라지 각각 얼마에요?,라지가 2만 원이고 레귤러는 18000원입니다,가격문의
콜라 작은 거 500ml는 얼마에요?,콜라 작은 거 1500원이고 큰 거는 1800원요,가격문의
그러면은 3~4인용 얼마에요?,3~4인용 기준으론 26000원이요,가격문의
피자 끝에 치즈 들어가고 그런 거는 얼마에요?,크러스트 하시면 2000원 추가요,가격문의
피자는 다 8000원에 동일 금액인가요?,아니에요 6000원부터 13000원까지 있어요,가격문의
1.25리터 한 병은 얼마에요?,2000원이에요,가격문의
고구마 피자는 어떻게 해요 가격이 예?,8000원입니다,가격문의
네 그거는 가격이 어떻게 해 예?,라지는 41000원 치즈캡 안 하면 36500원요,가격문의
치즈 크러스트는 추가하면 가격 얼마에요?,슈림프로 라지로 하면 39400원입니다,가격문의
미디엄은 얼마에요?,피자에 따라 가격이 다 다릅니다,가격문의
새우 탕수육 작은 건 얼만데요?,소자 이만 오천 원요,가격문의
탕수육은 그럼 얼마에요?,만 오천 원요,가격문의
나 홀로 세트는 얼마에요?,만 칠천 원요,가격문의
깐풍 육운 그럼 얼마죠?,25000원이요,가격문의
차돌박이 짬뽕은 얼만데요?,7000원요,가격문의
대자는 얼마에요?,대자는 25000원요,가격문의
5000원 차이네요?,네,가격문의
유산슬은 얼마입니까?,작은 건 30000원 큰 거는 35000원입니다,가격문의
양장피는 가격이 어떻게 해요?,작은 거는 30000원이고요 큰 거는 35000원입니다,가격문의
그냥 짜장은요?,5000원이요,가격문의
그러면 간짜장이 더 비싸겠는데 얼마에요?,6000원이요,가격문의
그거는 가격대가?,치즈 크러스트는 판다 삼천 원 추가입니다,가격문의
가격은 얼마인가요?,한 판에 이만 사천구백 원, 두 판에 삼만 팔천구백 원입니다
얼마에요?,만 사천구백 원입니다,가격문의
아 그래요 프라이드 플러스 슈프림 치킨 반반하면 얼마죠?,19000원이요,가격문의
아 간장치킨 가격은 얼만데요?,한 마리에 종류 하나만 하시면 만 구천 원이고 만약에 한 마리에 두 가지 맛 하시면 이만 원입니다,가격문의
가격은 얼마에요?,미디엄은 14000원 라지는 17000원입니다,가격문의
라지는 가격대는 어떻게 되나요?,라지 29500원, 27500원
한 판은 가격이 얼마에요?,한 판은 작은 거 14000원입니다,가격문의
작은 거는 얼마이고 큰 거는 얼마에요?,두 판에 21000원 27000원입니다,가격문의
가격은?,앞에는 약간 단가 있는 거 뒤에는 무난하게 많이들 드시는 거입니다,가격문의
벌집 피자는 라지 사이즈는 얼마지요?,만 칠천 원이에요,가격문의
대자 두 개 얼마죠?,이만 칠천 원이요,가격문의
사십 프로 할인하면 얼마인가요?,이만 구백사십 원이요 큰 거,가격문의
가격은 얼마 얼마 있어요?,튀김은 17000원이고요 찜닭은 20000원입니다,가격문의
순살도 마찬가지네요 가격은?,아뇨 순살은 2천 원 추가되세요,가격문의
그럼 뼈 있는 건 얼마에요?,소 중 대 나눠져 있거든요 소가 17000원 중 24000원 대 35000원이요,가격문의
그거 가격이 얼마에요?,만 팔천 원요,가격문의
네 그것도 가격이 똑같아요?,빵을 필요 없다고 하시면 치킨만 하는 경우에는 20900원이고요 빵이 들어가면 21900원이고요,가격문의
그럼 가격은요?,가격은 22900원입니다,가격문의
