question,answer,intent
소고기 패티 가격은요?,"4,900원이요",가격문의
가격대는 얼마예요?,다 가격 적혀 있어요 고객님,가격문의
빅맥세트 얼마에요?,4500원입니다,가격문의
불고기버거 세트가 얼마죠?,5000원입니다,가격문의
떡볶이 1인분에 얼마인가요?,2500원입니다,가격문의
음식마다 가격이 다른가요?,음식 앞 쪽에 가격이 표기되어 있습니다,가격문의
얼마에요?,다해서 15000원입니다,가격문의
빅맥세트 얼마에요?,6300원입니다,가격문의
상하이 버거 세트 가격이 얼마죠?,6800원입니다,가격문의
그럼 가격은 얼마 정도인가요?,23000원입니다,가격문의
어묵은 하나에 얼마씩이에요?,한 꼬치당 500원이에요,가격문의
치즈 버거 세트는 얼마인가요?,8000원입니다,가격문의
떡볶이 1인분에 얼마에요?,3500원입니다,가격문의
떡볶이랑 순대 튀김 1인분씩 얼마인가요?,2500원씩 7500원입니다,가격문의
혹시 버거 단품이랑 세트랑 가격 차이가 많이 나나요?,버거는 3600원 세트는 5200원이에요,가격문의
베이컨토마토디럭스 버거 세트 얼마인가요?,6700원입니다,가격문의
어묵은 1개에 얼마인가요?,500원입니다,가격문의
튀김은요?,똑같습니다,가격문의
떡볶이 1인분 가격 어떻게 되나요?,3000원입니다,가격문의
맥런치세트 이벤트 가격 얼마인가요?,3900원입니다,가격문의
불고기버거 세트로는 얼마에요?,4500원입니다,가격문의
불고기버거 얼마에요?,3300원입니다,가격문의
양념감자 2개랑  새우버거 세트 하나 얼마죠?,9000원입니다,가격문의
불고기버거 세트 얼마에요?,4600원입니다,가격문의
음료수는 얼마인가요?,한 캔에 2000원입니다,가격문의
혹시 튀김은 가격이 어떻게 되나요?,각각 500원씩이고 모둠으로 하시면 2천 원에 5개 드려요,가격문의
얼마 나왔습니까?,라면과 김밥 합해서 7천 원 나왔습니다,가격문의
단품 가격인가요?,아니요 세트 가격입니다,가격문의
새우버거  얼마에요?,4500원입니다,가격문의
왜 이렇게 비싸요?,새우튀김이 하나에 2000원이에요,가격문의
버터랑 딸기잼은 그냥 주는 건가요?,개당 300원입니다,가격문의
햄버거 세트 얼마죠,단품 가격에서 천원 더 받아요,가격문의
김밥은 한 줄에 얼마인가요?,1500원입니다.,가격문의
더블 불고기버거 한 개 얼마에요?,4000원입니다.,가격문의
떡볶이랑 순대 얼마인가요?,각각 1인분에 3000원씩입니다,가격문의
참치김밥은 얼마인가요?,네 삼천 원입니다,가격문의
김밥 한 줄 얼마인가요?,일반 김밥은 1500원이고 종류에 따라 가격이 달라요,가격문의
순대도 1인분에 3000원이에요?,순대는 4000원입니다,가격문의
떡볶이 1인분 얼마에요?,3000원입니다,가격문의
데리버거 세트 하나 얼마인가요?,4700원입니다,가격문의
